,point,date,vcur_mean,vcur_median,vcur_sd,vcur_min,vcur_max
0,Rozegat 1,2019-02-21T00:00:00,0.006486110854893923,0.0,0.04644704982638359,-0.11999999731779099,0.12999999523162842
1,Rozegat 1,2022-04-15T00:00:00,4.629645900422474e-06,0.0,0.03935062885284424,-0.07999999821186066,0.07999999821186066
2,Rozegat 1,2023-03-18T00:00:00,1.388892087561544e-05,0.0,0.03956417366862297,-0.07999999821186066,0.07999999821186066
3,Rozegat 2,2019-02-21T00:00:00,-0.03963426128029823,-0.05999999865889549,0.16715125739574432,-0.429999977350235,0.3400000035762787
4,Rozegat 2,2022-04-15T00:00:00,6.018529165885411e-05,0.0,0.15117639303207397,-0.29999998211860657,0.29999998211860657
5,Rozegat 2,2023-03-18T00:00:00,-9.722236427478492e-05,0.0,0.15193912386894226,-0.3100000023841858,0.3100000023841858
6,Rozegat 3,2019-02-21T00:00:00,-0.018490741029381752,-0.019999999552965164,0.12729863822460175,-0.3400000035762787,0.2800000011920929
7,Rozegat 3,2022-04-15T00:00:00,-6.481481977971271e-05,0.0,0.11430990695953369,-0.22999998927116394,0.22999998927116394
8,Rozegat 3,2023-03-18T00:00:00,6.94443442625925e-05,0.0,0.11479145288467407,-0.23999999463558197,0.23999999463558197
9,Meaban 1,2019-02-20T00:00:00,-0.038754627108573914,-0.019999999552965164,0.12759627401828766,-0.3799999952316284,0.20999999344348907
10,Meaban 1,2022-03-24T00:00:00,0.00012037040869472548,0.0,0.11364492774009705,-0.22999998927116394,0.22999998927116394
11,Meaban 1,2023-03-15T00:00:00,7.870369154261425e-05,0.0,0.11193807423114777,-0.22999998927116394,0.22999998927116394
12,Glenan 2,2019-02-19T00:00:00,-0.008606480434536934,-0.029999999329447746,0.041703902184963226,-0.07000000029802322,0.09999999403953552
13,Glenan 2,2022-03-26T00:00:00,-9.259257058147341e-05,0.0,0.037334706634283066,-0.07000000029802322,0.07000000029802322
14,Glenan 2,2023-03-16T00:00:00,-9.259258513338864e-05,0.0,0.036656446754932404,-0.07000000029802322,0.07000000029802322
15,Saint-Brieuc 1,2019-02-25T00:00:00,0.09565277397632599,0.1899999976158142,0.5466650724411011,-1.1999999284744263,1.090000033378601
16,Saint-Brieuc 1,2022-03-29T00:00:00,0.0005925929872319102,0.0,0.5165935158729553,-1.0499999523162842,1.0499999523162842
17,Saint-Brieuc 1,2023-03-21T00:00:00,0.0003657406195998192,0.0,0.5156082510948181,-1.0499999523162842,1.0499999523162842
18,Saint-Brieuc 2,2019-02-25T00:00:00,0.0729583352804184,0.17999999225139618,0.606465756893158,-1.3199999332427979,1.149999976158142
19,Saint-Brieuc 2,2022-03-29T00:00:00,0.0006018514395691454,0.0,0.5782642960548401,-1.1699999570846558,1.1699999570846558
20,Saint-Brieuc 2,2023-03-21T00:00:00,0.00038888922426849604,0.0,0.5772693753242493,-1.1699999570846558,1.1699999570846558
21,Saint-Brieuc 3,2019-02-25T00:00:00,0.09979166090488434,0.19999998807907104,0.5360298752784729,-1.159999966621399,1.0699999332427979
22,Saint-Brieuc 3,2022-03-29T00:00:00,0.0005231481045484543,-0.009999999776482582,0.5065527558326721,-1.0299999713897705,1.0199999809265137
23,Saint-Brieuc 3,2023-03-21T00:00:00,0.00035648158518597484,0.009999999776482582,0.5056133270263672,-1.0299999713897705,1.0299999713897705
24,Belle-ile 1,2019-02-20T00:00:00,-0.0020092593040317297,-0.009999999776482582,0.06440712511539459,-0.10999999940395355,0.14000000059604645
25,Belle-ile 1,2022-03-25T00:00:00,-9.722216782392934e-05,0.0,0.061621904373168945,-0.11999999731779099,0.11999999731779099
26,Belle-ile 1,2023-03-15T00:00:00,-1.8518521756050177e-05,0.0,0.060704197734594345,-0.11999999731779099,0.11999999731779099
27,Belle-ile 2,2019-02-20T00:00:00,-0.0020092593040317297,-0.009999999776482582,0.06440712511539459,-0.10999999940395355,0.14000000059604645
28,Belle-ile 2,2022-03-25T00:00:00,-9.722216782392934e-05,0.0,0.061621904373168945,-0.11999999731779099,0.11999999731779099
29,Belle-ile 2,2023-03-15T00:00:00,-1.8518521756050177e-05,0.0,0.060704197734594345,-0.11999999731779099,0.11999999731779099
30,Belle-ile 3,2019-02-20T00:00:00,-0.0020092593040317297,-0.009999999776482582,0.06440712511539459,-0.10999999940395355,0.14000000059604645
31,Belle-ile 3,2022-03-25T00:00:00,-9.722216782392934e-05,0.0,0.061621904373168945,-0.11999999731779099,0.11999999731779099
32,Belle-ile 3,2023-03-15T00:00:00,-1.8518521756050177e-05,0.0,0.060704197734594345,-0.11999999731779099,0.11999999731779099
33,Camaret 1,2019-02-22T00:00:00,0.006481481250375509,0.0,0.06837619841098785,-0.14000000059604645,0.17000000178813934
34,Camaret 1,2022-03-27T00:00:00,5.555557072511874e-05,0.0,0.06540469825267792,-0.12999999523162842,0.12999999523162842
35,Camaret 1,2023-03-18T00:00:00,1.8518483557272702e-05,0.0,0.06467081606388092,-0.12999999523162842,0.12999999523162842
36,Camaret 3,2019-02-22T00:00:00,0.003652777522802353,0.0,0.04391742870211601,-0.08999999612569809,0.10999999940395355
37,Camaret 3,2022-03-27T00:00:00,5.55555488972459e-05,0.0,0.04203830286860466,-0.08999999612569809,0.08999999612569809
38,Camaret 3,2023-03-18T00:00:00,-3.240738806198351e-05,0.0,0.04149016737937927,-0.08999999612569809,0.08999999612569809
39,Molene 1,2019-02-22T00:00:00,-0.19300462305545807,-0.14999999105930328,0.46628156304359436,-1.1699999570846558,0.5399999618530273
40,Molene 1,2022-03-27T00:00:00,0.000472221989184618,0.0,0.44575679302215576,-0.8700000047683716,0.85999995470047
41,Molene 1,2023-03-19T00:00:00,-3.703711263369769e-05,-0.004999999888241291,0.44224196672439575,-0.85999995470047,0.85999995470047
42,Molene 2,2019-02-22T00:00:00,-0.19300462305545807,-0.14999999105930328,0.46628156304359436,-1.1699999570846558,0.5399999618530273
43,Molene 2,2022-03-27T00:00:00,0.000472221989184618,0.0,0.44575679302215576,-0.8700000047683716,0.85999995470047
44,Molene 2,2023-03-19T00:00:00,-3.703711263369769e-05,-0.004999999888241291,0.44224196672439575,-0.85999995470047,0.85999995470047
45,Morlaix 1,2019-02-12T00:00:00,0.0008148148190230131,0.03999999910593033,0.23117229342460632,-0.5600000023841858,0.4099999964237213
46,Morlaix 1,2022-03-02T00:00:00,0.0002638890582602471,0.0,0.22805066406726837,-0.4599999785423279,0.4699999988079071
47,Morlaix 1,2023-02-20T00:00:00,0.00028240735991857946,0.0,0.22529807686805725,-0.4599999785423279,0.4599999785423279
48,Morlaix 2,2019-02-12T00:00:00,0.03192129358649254,0.029999999329447746,0.09686551988124847,-0.14999999105930328,0.25
49,Morlaix 2,2022-03-02T00:00:00,9.259264516003896e-06,0.0,0.09516408294439316,-0.1899999976158142,0.1899999976158142
50,Morlaix 2,2023-02-20T00:00:00,3.2407446269644424e-05,0.0,0.09401068091392517,-0.1899999976158142,0.1899999976158142
51,Morlaix 3,2019-02-12T00:00:00,0.03192129358649254,0.029999999329447746,0.09686551988124847,-0.14999999105930328,0.25
52,Morlaix 3,2022-03-02T00:00:00,9.259264516003896e-06,0.0,0.09516408294439316,-0.1899999976158142,0.1899999976158142
53,Morlaix 3,2023-02-20T00:00:00,3.2407446269644424e-05,0.0,0.09401068091392517,-0.1899999976158142,0.1899999976158142
54,Trevignon 1,2019-02-19T00:00:00,-0.0014027776196599007,-0.009999999776482582,0.040877241641283035,-0.07999999821186066,0.07999999821186066
55,Trevignon 1,2022-03-25T00:00:00,7.407400698866695e-05,0.0,0.039428722113370895,-0.07999999821186066,0.07999999821186066
56,Trevignon 1,2023-03-16T00:00:00,6.944440247025341e-05,0.0,0.03898295760154724,-0.07999999821186066,0.07999999821186066
57,Trevignon 2,2019-02-19T00:00:00,-0.0014027776196599007,-0.009999999776482582,0.040877241641283035,-0.07999999821186066,0.07999999821186066
58,Trevignon 2,2022-03-25T00:00:00,7.407400698866695e-05,0.0,0.039428722113370895,-0.07999999821186066,0.07999999821186066
59,Trevignon 2,2023-03-16T00:00:00,6.944440247025341e-05,0.0,0.03898295760154724,-0.07999999821186066,0.07999999821186066
60,Meaban 2,2019-02-20T00:00:00,-0.038754627108573914,-0.019999999552965164,0.12759627401828766,-0.3799999952316284,0.20999999344348907
61,Meaban 2,2022-03-24T00:00:00,0.00012037040869472548,0.0,0.11364492774009705,-0.22999998927116394,0.22999998927116394
62,Meaban 2,2023-03-15T00:00:00,7.870369154261425e-05,0.0,0.11193807423114777,-0.22999998927116394,0.22999998927116394
63,Keraliou 1,2019-02-21T00:00:00,-0.007666666526347399,-0.009999999776482582,0.06591113656759262,-0.17999999225139618,0.14999999105930328
64,Keraliou 1,2022-04-15T00:00:00,-7.407399243675172e-05,0.0,0.05891844630241394,-0.11999999731779099,0.11999999731779099
65,Keraliou 1,2023-03-18T00:00:00,6.018516796757467e-05,0.0,0.05932682380080223,-0.11999999731779099,0.11999999731779099
66,Keraliou 2,2019-02-21T00:00:00,0.002685185056179762,0.0,0.06605351716279984,-0.14999999105930328,0.14999999105930328
67,Keraliou 2,2022-04-15T00:00:00,-3.240739169996232e-05,0.0,0.060347363352775574,-0.11999999731779099,0.11999999731779099
68,Keraliou 2,2023-03-18T00:00:00,6.481483433162794e-05,0.0,0.060715604573488235,-0.12999999523162842,0.12999999523162842
69,Keraliou 3,2019-02-21T00:00:00,0.016263887286186218,0.019999999552965164,0.03838010132312775,-0.07000000029802322,0.09999999403953552
70,Keraliou 3,2022-04-15T00:00:00,4.629632530850358e-05,0.0,0.03472507745027542,-0.07000000029802322,0.07000000029802322
71,Keraliou 3,2023-03-18T00:00:00,-2.314814628334716e-05,0.0,0.03486812859773636,-0.07000000029802322,0.07000000029802322
72,Glenan 1,2019-02-19T00:00:00,-0.002222222276031971,-0.019999999552965164,0.05221542343497276,-0.09999999403953552,0.14999999105930328
73,Glenan 1,2022-03-26T00:00:00,-6.944440247025341e-05,0.0,0.04135936498641968,-0.07999999821186066,0.07999999821186066
74,Glenan 1,2023-03-16T00:00:00,-0.00010185189603362232,0.0,0.040674734860658646,-0.07999999821186066,0.07999999821186066
75,Glenan 3,2019-02-19T00:00:00,-0.04195370152592659,-0.03999999910593033,0.0749368742108345,-0.20999999344348907,0.07999999821186066
76,Glenan 3,2022-03-26T00:00:00,7.87037133704871e-05,0.0,0.07211066037416458,-0.14000000059604645,0.14000000059604645
77,Glenan 3,2023-03-16T00:00:00,6.481479067588225e-05,0.0,0.07100270688533783,-0.14000000059604645,0.14000000059604645
78,Camaret 2,2019-02-22T00:00:00,0.003652777522802353,0.0,0.04391742870211601,-0.08999999612569809,0.10999999940395355
79,Camaret 2,2022-03-27T00:00:00,5.55555488972459e-05,0.0,0.04203830286860466,-0.08999999612569809,0.08999999612569809
80,Camaret 2,2023-03-18T00:00:00,-3.240738806198351e-05,0.0,0.04149016737937927,-0.08999999612569809,0.08999999612569809
81,Molene 3,2019-02-22T00:00:00,-0.19300462305545807,-0.14999999105930328,0.46628156304359436,-1.1699999570846558,0.5399999618530273
82,Molene 3,2022-03-27T00:00:00,0.000472221989184618,0.0,0.44575679302215576,-0.8700000047683716,0.85999995470047
83,Molene 3,2023-03-19T00:00:00,-3.703711263369769e-05,-0.004999999888241291,0.44224196672439575,-0.85999995470047,0.85999995470047
84,Trevignon 3,2019-02-19T00:00:00,0.0007361111929640174,0.0,0.04403559863567352,-0.08999999612569809,0.08999999612569809
85,Trevignon 3,2022-03-25T00:00:00,1.8518534488976002e-05,0.0,0.042846620082855225,-0.08999999612569809,0.08999999612569809
86,Trevignon 3,2023-03-16T00:00:00,5.555551979341544e-05,0.0,0.04209333285689354,-0.08999999612569809,0.08999999612569809
87,Meaban 3,2019-02-20T00:00:00,-0.038754627108573914,-0.019999999552965164,0.12759627401828766,-0.3799999952316284,0.20999999344348907
88,Meaban 3,2022-03-24T00:00:00,0.00012037040869472548,0.0,0.11364492774009705,-0.22999998927116394,0.22999998927116394
89,Meaban 3,2023-03-15T00:00:00,7.870369154261425e-05,0.0,0.11193807423114777,-0.22999998927116394,0.22999998927116394
